month,onset,offset,onset_500,offset_500,object,FemaleAdult,MaleAdult,Child,Electronic,Overlap,FirstPass,subj
7,23064640,23066790,23064140,23067290,diaper,NA,NA,NA,NA,NA,NA,521
7,23179760,23182200,23179260,23182700,mirror,NA,NA,NA,NA,NA,NA,521
7,23179760,23182200,23179260,23182700,baby,NA,NA,NA,NA,NA,NA,521
7,23430990,23432990,23430490,23433490,milk,NA,NA,NA,NA,NA,NA,521
7,27315200,27317540,27314700,27318040,policeman,NA,NA,NA,NA,NA,NA,521
7,28150900,28155120,28150400,28155620,blackbird,NA,NA,NA,NA,NA,NA,521
7,36044760,36045990,36044260,36046490,key,NA,NA,NA,NA,NA,NA,521
7,36129820,36130780,36129320,36131280,hair,NA,NA,NA,NA,NA,NA,521
7,36673200,36676920,36672700,36677420,string,NA,NA,NA,NA,NA,NA,521
7,36683160,36684260,36682660,36684760,bee,NA,NA,NA,NA,NA,NA,521
7,37523910,37525420,37523410,37525920,door,NA,NA,NA,NA,NA,NA,521
7,37856330,37858850,37855830,37859350,bag,NA,NA,NA,NA,NA,NA,521
7,38306120,38307120,38305620,38307620,bootie,NA,NA,NA,NA,NA,NA,521
7,39211930,39213290,39211430,39213790,coffee,NA,NA,NA,NA,NA,NA,521
7,39530820,39533300,39530320,39533800,back,NA,NA,NA,NA,NA,NA,521
7,39536710,39537710,39536210,39538210,tummy,NA,NA,NA,NA,NA,NA,521
7,39544450,39545650,39543950,39546150,crib,NA,NA,NA,NA,NA,NA,521
7,39655840,39656840,39655340,39657340,cooler,NA,NA,NA,NA,NA,NA,521
7,39655840,39656840,39655340,39657340,freezer,NA,NA,NA,NA,NA,NA,521
7,39659010,39660310,39658510,39660810,yogurt,NA,NA,NA,NA,NA,NA,521
7,39659010,39660310,39658510,39660810,salad,NA,NA,NA,NA,NA,NA,521
7,39713080,39714260,39712580,39714760,hand,NA,NA,NA,NA,NA,NA,521
7,40028280,40029280,40027780,40029780,kitty+cat,NA,NA,NA,NA,NA,NA,521
7,40290360,40291370,40289860,40291870,feet,NA,NA,NA,NA,NA,NA,521
7,40298800,40300080,40298300,40300580,bib,NA,NA,NA,NA,NA,NA,521
7,40500590,40502180,40500090,40502680,spoon,NA,NA,NA,NA,NA,NA,521
7,40611700,40613460,40611200,40613960,table,NA,NA,NA,NA,NA,NA,521
7,41626120,41627180,41625620,41627680,rattle,NA,NA,NA,NA,NA,NA,521
7,41664970,41665970,41664470,41666470,phone,NA,NA,NA,NA,NA,NA,521
7,41841750,41843470,41841250,41843970,wipes,NA,NA,NA,NA,NA,NA,521
7,41843470,41845050,41842970,41845550,hands,NA,NA,NA,NA,NA,NA,521
7,42184600,42185420,42184100,42185920,baby,NA,NA,NA,NA,NA,NA,521
7,42216710,42217920,42216210,42218420,beard,NA,NA,NA,NA,NA,NA,521
7,42532140,42533140,42531640,42533640,back,NA,NA,NA,NA,NA,NA,521
7,42555940,42557760,42555440,42558260,rice,NA,NA,NA,NA,NA,NA,521
7,42616960,42618280,42616460,42618780,squash,NA,NA,NA,NA,NA,NA,521
7,42625060,42626480,42624560,42626980,coffee+soap,NA,NA,NA,NA,NA,NA,521
7,43508730,43509730,43508230,43510230,cats,NA,NA,NA,NA,NA,NA,521
7,43530550,43531550,43530050,43532050,tail,NA,NA,NA,NA,NA,NA,521
7,44051680,44053150,44051180,44053650,pjs,NA,NA,NA,NA,NA,NA,521
7,44480460,44482020,44479960,44482520,page,NA,NA,NA,NA,NA,NA,521
6,504630,507200,504130,507700,baby,NA,NA,NA,NA,NA,NA,274
6,519510,520760,519010,521260,socks,NA,NA,NA,NA,NA,NA,274
6,1146770,1147590,1146270,1148090,nubby,NA,NA,NA,NA,NA,NA,274
6,1727470,1729700,1726970,1730200,strawberries,NA,NA,NA,NA,NA,NA,274
6,1727470,1729700,1726970,1730200,bananas,NA,NA,NA,NA,NA,NA,274
